"MSOA","Tenure","PPerBed","Composition","Count"
"E02000866",3,4,4,3
"E02000866",3,4,5,9
"E02000866",5,1,1,199
"E02000866",5,1,2,4
"E02000866",5,1,3,1
"E02000866",5,1,4,3
"E02000866",5,1,5,2
"E02000866",5,2,1,366
"E02000866",5,2,2,98
"E02000866",5,2,3,28
"E02000866",5,2,4,145
"E02000866",5,2,5,25
"E02000866",5,3,1,0
"E02000866",5,3,2,77
"E02000866",5,3,3,12
"E02000866",5,3,4,77
"E02000866",5,3,5,3
"E02000866",5,4,1,0
"E02000866",5,4,2,199
"E02000866",5,4,3,49
"E02000866",5,4,4,78
"E02000866",5,4,5,14
"E02000866",6,1,1,94
"E02000866",6,1,2,0
"E02000866",6,1,3,2
"E02000866",6,1,4,1
"E02000866",6,1,5,5
"E02000866",6,2,1,131
"E02000866",6,2,2,44
"E02000866",6,2,3,68
"E02000866",6,2,4,23
"E02000866",6,2,5,322
"E02000866",6,3,1,0
"E02000866",6,3,2,22
"E02000866",6,3,3,38
"E02000866",6,3,4,12
"E02000866",6,3,5,81
"E02000866",6,4,1,0
"E02000866",6,4,2,69
"E02000866",6,4,3,107
"E02000866",6,4,4,16
"E02000866",6,4,5,54
"E02000867",2,1,1,97
"E02000867",2,1,2,3
"E02000867",2,1,3,3
"E02000867",2,1,4,3
"E02000867",2,1,5,0
"E02000867",2,2,1,37
"E02000867",2,2,2,59
"E02000867",2,2,3,18
"E02000867",2,2,4,12
"E02000867",2,2,5,35
"E02000867",2,3,1,0
"E02000867",2,3,2,8
"E02000867",2,3,3,4
"E02000867",2,3,4,2
"E02000867",2,3,5,1
"E02000867",2,4,1,0
"E02000867",2,4,2,13
"E02000867",2,4,3,5
"E02000867",2,4,4,0
"E02000867",2,4,5,2
"E02000867",3,1,1,212
"E02000867",3,1,2,6
"E02000867",3,1,3,3
"E02000867",3,1,4,0
"E02000867",3,1,5,3
"E02000867",3,2,1,213
"E02000867",3,2,2,129
"E02000867",3,2,3,88
"E02000867",3,2,4,28
"E02000867",3,2,5,68
"E02000867",3,3,1,0
"E02000867",3,3,2,45
"E02000867",3,3,3,26
"E02000867",3,3,4,7
"E02000867",3,3,5,8
"E02000867",3,4,1,0
"E02000867",3,4,2,81
"E02000867",3,4,3,60
"E02000867",3,4,4,6
"E02000867",3,4,5,8
"E02000867",5,1,1,195
"E02000867",5,1,2,2
"E02000867",5,1,3,0
"E02000867",5,1,4,4
"E02000867",5,1,5,1
"E02000867",5,2,1,315
"E02000867",5,2,2,83
"E02000867",5,2,3,23
"E02000867",5,2,4,234
"E02000867",5,2,5,27
"E02000867",5,3,1,0
"E02000867",5,3,2,95
"E02000867",5,3,3,15
"E02000867",5,3,4,88
"E02000867",5,3,5,3
"E02000867",5,4,1,0
"E02000867",5,4,2,196
"E02000867",5,4,3,36
"E02000867",5,4,4,78
"E02000867",5,4,5,15
"E02000867",6,1,1,123
"E02000867",6,1,2,0
"E02000867",6,1,3,3
"E02000867",6,1,4,0
"E02000867",6,1,5,14
"E02000867",6,2,1,251
"E02000867",6,2,2,51
"E02000867",6,2,3,114
"E02000867",6,2,4,37
"E02000867",6,2,5,403
"E02000867",6,3,1,0
"E02000867",6,3,2,52
"E02000867",6,3,3,48
"E02000867",6,3,4,20
"E02000867",6,3,5,62
"E02000867",6,4,1,0
"E02000867",6,4,2,110
"E02000867",6,4,3,227
"E02000867",6,4,4,19
"E02000867",6,4,5,70
"E02000868",2,1,1,74
"E02000868",2,1,2,1
"E02000868",2,1,3,1
"E02000868",2,1,4,1
"E02000868",2,1,5,1
"E02000868",2,2,1,50
"E02000868",2,2,2,29
"E02000868",2,2,3,10
"E02000868",2,2,4,13
"E02000868",2,2,5,24
"E02000868",2,3,1,0
"E02000868",2,3,2,3
"E02000868",2,3,3,2
"E02000868",2,3,4,2
"E02000868",2,3,5,6
"E02000868",2,4,1,0
"E02000868",2,4,2,12
"E02000868",2,4,3,11
"E02000868",2,4,4,1
"E02000868",2,4,5,4
"E02000868",3,1,1,84
"E02000868",3,1,2,0
"E02000868",3,1,3,0
"E02000868",3,1,4,1
"E02000868",3,1,5,1
"E02000868",3,2,1,81
"E02000868",3,2,2,40
"E02000868",3,2,3,51
"E02000868",3,2,4,16
"E02000868",3,2,5,46
"E02000868",3,3,1,0
"E02000868",3,3,2,29
"E02000868",3,3,3,6
"E02000868",3,3,4,6
"E02000868",3,3,5,4
"E02000868",3,4,1,0
"E02000868",3,4,2,55
"E02000868",3,4,3,37
"E02000868",3,4,4,1
"E02000868",3,4,5,8
"E02000868",5,1,1,144
"E02000868",5,1,2,0
"E02000868",5,1,3,0
"E02000868",5,1,4,2
"E02000868",5,1,5,0
"E02000868",5,2,1,220
"E02000868",5,2,2,41
"E02000868",5,2,3,16
"E02000868",5,2,4,98
"E02000868",5,2,5,21
"E02000868",5,3,1,0
"E02000868",5,3,2,67
"E02000868",5,3,3,9
"E02000868",5,3,4,48
"E02000868",5,3,5,5
"E02000868",5,4,1,0
"E02000868",5,4,2,200
"E02000868",5,4,3,17
"E02000868",5,4,4,44
"E02000868",5,4,5,9
"E02000868",6,1,1,68
"E02000868",6,1,2,1
"E02000868",6,1,3,3
"E02000868",6,1,4,0
"E02000868",6,1,5,4
"E02000868",6,2,1,129
"E02000868",6,2,2,32
"E02000868",6,2,3,72
"E02000868",6,2,4,11
"E02000868",6,2,5,286
"E02000868",6,3,1,0
"E02000868",6,3,2,19
"E02000868",6,3,3,33
"E02000868",6,3,4,9
"E02000868",6,3,5,60
"E02000868",6,4,1,0
"E02000868",6,4,2,51
"E02000868",6,4,3,133
"E02000868",6,4,4,8
"E02000868",6,4,5,47
"E02000869",2,1,1,77
"E02000869",2,1,2,3
"E02000869",2,1,3,0
"E02000869",2,1,4,1
"E02000869",2,1,5,1
"E02000869",2,2,1,34
"E02000869",2,2,2,33
"E02000869",2,2,3,17
"E02000869",2,2,4,13
"E02000869",2,2,5,22
"E02000869",2,3,1,0
"E02000869",2,3,2,17
"E02000869",2,3,3,4
"E02000869",2,3,4,2
"E02000869",2,3,5,3
"E02000869",2,4,1,0
"E02000869",2,4,2,21
"E02000869",2,4,3,11
"E02000869",2,4,4,1
"E02000869",2,4,5,2
"E02000869",3,1,1,98
"E02000869",3,1,2,2
"E02000869",3,1,3,0
"E02000869",3,1,4,2
"E02000869",3,1,5,0
"E02000869",3,2,1,45
"E02000869",3,2,2,53
"E02000869",3,2,3,58
"E02000869",3,2,4,16
"E02000869",3,2,5,35
"E02000869",3,3,1,0
"E02000869",3,3,2,30
"E02000869",3,3,3,17
"E02000869",3,3,4,7
"E02000869",3,3,5,3
"E02000869",3,4,1,0
"E02000869",3,4,2,50
"E02000869",3,4,3,19
"E02000869",3,4,4,4
"E02000869",3,4,5,4
"E02000869",5,1,1,147
"E02000869",5,1,2,3
"E02000869",5,1,3,0
"E02000869",5,1,4,5
"E02000869",5,1,5,1
"E02000869",5,2,1,412
"E02000869",5,2,2,60
"E02000869",5,2,3,12
"E02000869",5,2,4,111
"E02000869",5,2,5,18
"E02000869",5,3,1,0
"E02000869",5,3,2,59
"E02000869",5,3,3,13
"E02000869",5,3,4,46
"E02000869",5,3,5,1
"E02000869",5,4,1,0
"E02000869",5,4,2,171
"E02000869",5,4,3,32
"E02000869",5,4,4,63
"E02000869",5,4,5,11
"E02000869",6,1,1,60
"E02000869",6,1,2,3
"E02000869",6,1,3,1
"E02000869",6,1,4,1
"E02000869",6,1,5,8
"E02000869",6,2,1,71
"E02000869",6,2,2,27
"E02000869",6,2,3,34
"E02000869",6,2,4,15
"E02000869",6,2,5,185
"E02000869",6,3,1,0
"E02000869",6,3,2,14
"E02000869",6,3,3,30
"E02000869",6,3,4,7
"E02000869",6,3,5,37
"E02000869",6,4,1,0
"E02000869",6,4,2,17
"E02000869",6,4,3,58
"E02000869",6,4,4,9
"E02000869",6,4,5,38
"E02000870",2,1,1,74
"E02000870",2,1,2,0
"E02000870",2,1,3,0
"E02000870",2,1,4,1
"E02000870",2,1,5,2
"E02000870",2,2,1,33
"E02000870",2,2,2,30
"E02000870",2,2,3,12
"E02000870",2,2,4,19
"E02000870",2,2,5,39
"E02000870",2,3,1,0
"E02000870",2,3,2,11
"E02000870",2,3,3,6
"E02000870",2,3,4,2
"E02000870",2,3,5,3
"E02000870",2,4,1,0
"E02000870",2,4,2,10
"E02000870",2,4,3,5
"E02000870",2,4,4,1
"E02000870",2,4,5,3
"E02000870",3,1,1,92
"E02000870",3,1,2,0
"E02000870",3,1,3,1
"E02000870",3,1,4,0
"E02000870",3,1,5,0
"E02000870",3,2,1,88
"E02000870",3,2,2,35
"E02000870",3,2,3,50
"E02000870",3,2,4,21
"E02000870",3,2,5,41
"E02000870",3,3,1,0
"E02000870",3,3,2,31
"E02000870",3,3,3,13
"E02000870",3,3,4,5
"E02000870",3,3,5,5
"E02000870",3,4,1,0
"E02000870",3,4,2,48
"E02000870",3,4,3,34
"E02000870",3,4,4,5
"E02000870",3,4,5,8
"E02000870",5,1,1,191
"E02000870",5,1,2,0
"E02000870",5,1,3,0
"E02000870",5,1,4,1
"E02000870",5,1,5,0
"E02000870",5,2,1,224
"E02000870",5,2,2,81
"E02000870",5,2,3,15
"E02000870",5,2,4,161
"E02000870",5,2,5,20
"E02000870",5,3,1,0
"E02000870",5,3,2,71
"E02000870",5,3,3,19
"E02000870",5,3,4,63
"E02000870",5,3,5,5
"E02000870",5,4,1,0
"E02000870",5,4,2,214
"E02000870",5,4,3,29
"E02000870",5,4,4,62
"E02000870",5,4,5,10
"E02000870",6,1,1,69
"E02000870",6,1,2,1
"E02000870",6,1,3,1
"E02000870",6,1,4,0
"E02000870",6,1,5,6
"E02000870",6,2,1,72
"E02000870",6,2,2,12
"E02000870",6,2,3,30
"E02000870",6,2,4,21
"E02000870",6,2,5,180
"E02000870",6,3,1,0
"E02000870",6,3,2,14
"E02000870",6,3,3,18
"E02000870",6,3,4,8
"E02000870",6,3,5,55
"E02000870",6,4,1,0
"E02000870",6,4,2,58
"E02000870",6,4,3,78
"E02000870",6,4,4,9
"E02000870",6,4,5,34
"E02000871",2,1,1,31
"E02000871",2,1,2,0
"E02000871",2,1,3,0
"E02000871",2,1,4,2
"E02000871",2,1,5,0
"E02000871",2,2,1,23
"E02000871",2,2,2,24
"E02000871",2,2,3,10
"E02000871",2,2,4,8
"E02000871",2,2,5,7
"E02000871",2,3,1,0
"E02000871",2,3,2,12
"E02000871",2,3,3,2
"E02000871",2,3,4,1
"E02000871",2,3,5,1
"E02000871",2,4,1,0
"E02000871",2,4,2,11
"E02000871",2,4,3,0
"E02000871",2,4,4,3
"E02000871",2,4,5,3
"E02000871",3,1,1,87
"E02000871",3,1,2,0
"E02000871",3,1,3,0
"E02000871",3,1,4,1
"E02000871",3,1,5,0
"E02000871",3,2,1,73
"E02000871",3,2,2,38
"E02000871",3,2,3,22
"E02000871",3,2,4,29
"E02000871",3,2,5,28
"E02000871",3,3,1,0
"E02000871",3,3,2,28
"E02000871",3,3,3,4
"E02000871",3,3,4,11
"E02000871",3,3,5,2
"E02000871",3,4,1,0
"E02000871",3,4,2,99
"E02000871",3,4,3,22
"E02000871",3,4,4,5
"E02000871",3,4,5,4
"E02000871",5,1,1,195
"E02000871",5,1,2,4
"E02000871",5,1,3,0
"E02000871",5,1,4,4
"E02000871",5,1,5,4
"E02000871",5,2,1,385
"E02000871",5,2,2,81
"E02000871",5,2,3,22
"E02000871",5,2,4,196
"E02000871",5,2,5,38
"E02000871",5,3,1,0
"E02000871",5,3,2,126
"E02000871",5,3,3,24
"E02000871",5,3,4,93
"E02000871",5,3,5,5
"E02000871",5,4,1,0
"E02000871",5,4,2,379
"E02000871",5,4,3,59
"E02000871",5,4,4,90
"E02000871",5,4,5,25
"E02000871",6,1,1,61
"E02000871",6,1,2,1
"E02000871",6,1,3,1
"E02000871",6,1,4,0
"E02000871",6,1,5,9
"E02000871",6,2,1,117
"E02000871",6,2,2,31
"E02000871",6,2,3,36
"E02000871",6,2,4,33
"E02000871",6,2,5,130
"E02000871",6,3,1,0
"E02000871",6,3,2,44
"E02000871",6,3,3,18
"E02000871",6,3,4,26
"E02000871",6,3,5,22
"E02000871",6,4,1,0
"E02000871",6,4,2,143
"E02000871",6,4,3,54
"E02000871",6,4,4,20
"E02000871",6,4,5,40
"E02000872",2,1,1,68
"E02000872",2,1,2,0
"E02000872",2,1,3,0
"E02000872",2,1,4,2
"E02000872",2,1,5,2
"E02000872",2,2,1,33
"E02000872",2,2,2,21
"E02000872",2,2,3,12
"E02000872",2,2,4,18
"E02000872",2,2,5,23
"E02000872",2,3,1,0
"E02000872",2,3,2,4
"E02000872",2,3,3,3
"E02000872",2,3,4,2
"E02000872",2,3,5,2
"E02000872",2,4,1,0
"E02000872",2,4,2,20
"E02000872",2,4,3,5
"E02000872",2,4,4,3
"E02000872",2,4,5,7
"E02000872",3,1,1,114
"E02000872",3,1,2,1
"E02000872",3,1,3,0
"E02000872",3,1,4,1
"E02000872",3,1,5,2
"E02000872",3,2,1,65
"E02000872",3,2,2,41
"E02000872",3,2,3,43
"E02000872",3,2,4,8
"E02000872",3,2,5,65
"E02000872",3,3,1,0
"E02000872",3,3,2,30
"E02000872",3,3,3,16
"E02000872",3,3,4,3
"E02000872",3,3,5,4
"E02000872",3,4,1,0
"E02000872",3,4,2,54
"E02000872",3,4,3,25
"E02000872",3,4,4,6
"E02000872",3,4,5,6
"E02000872",5,1,1,166
"E02000872",5,1,2,2
"E02000872",5,1,3,0
"E02000872",5,1,4,1
"E02000872",5,1,5,1
"E02000872",5,2,1,334
"E02000872",5,2,2,56
"E02000872",5,2,3,16
"E02000872",5,2,4,131
"E02000872",5,2,5,23
"E02000872",5,3,1,0
"E02000872",5,3,2,66
"E02000872",5,3,3,11
"E02000872",5,3,4,69
"E02000872",5,3,5,4
"E02000872",5,4,1,0
"E02000872",5,4,2,256
"E02000872",5,4,3,33
"E02000872",5,4,4,77
"E02000872",5,4,5,7
"E02000872",6,1,1,94
"E02000872",6,1,2,0
"E02000872",6,1,3,0
"E02000872",6,1,4,0
"E02000872",6,1,5,6
"E02000872",6,2,1,175
"E02000872",6,2,2,26
"E02000872",6,2,3,50
"E02000872",6,2,4,18
"E02000872",6,2,5,381
"E02000872",6,3,1,0
"E02000872",6,3,2,14
"E02000872",6,3,3,35
"E02000872",6,3,4,8
"E02000872",6,3,5,60
"E02000872",6,4,1,0
"E02000872",6,4,2,56
"E02000872",6,4,3,120
"E02000872",6,4,4,9
"E02000872",6,4,5,74
"E02000873",2,1,1,75
"E02000873",2,1,2,2
"E02000873",2,1,3,0
"E02000873",2,1,4,2
"E02000873",2,1,5,2
"E02000873",2,2,1,23
"E02000873",2,2,2,30
"E02000873",2,2,3,10
"E02000873",2,2,4,14
"E02000873",2,2,5,20
"E02000873",2,3,1,0
"E02000873",2,3,2,16
"E02000873",2,3,3,3
"E02000873",2,3,4,3
"E02000873",2,3,5,1
"E02000873",2,4,1,0
"E02000873",2,4,2,16
"E02000873",2,4,3,2
"E02000873",2,4,4,3
"E02000873",2,4,5,2
"E02000873",3,1,1,105
"E02000873",3,1,2,2
"E02000873",3,1,3,0
"E02000873",3,1,4,1
"E02000873",3,1,5,0
"E02000873",3,2,1,45
"E02000873",3,2,2,53
"E02000873",3,2,3,61
"E02000873",3,2,4,23
"E02000873",3,2,5,58
"E02000873",3,3,1,0
"E02000873",3,3,2,33
"E02000873",3,3,3,12
"E02000873",3,3,4,7
"E02000873",3,3,5,3
"E02000873",3,4,1,0
"E02000873",3,4,2,71
"E02000873",3,4,3,21
"E02000873",3,4,4,5
"E02000873",3,4,5,3
"E02000873",5,1,1,179
"E02000873",5,1,2,3
"E02000873",5,1,3,0
"E02000873",5,1,4,7
"E02000873",5,1,5,3
"E02000873",5,2,1,297
"E02000873",5,2,2,54
"E02000873",5,2,3,15
"E02000873",5,2,4,116
"E02000873",5,2,5,40
"E02000873",5,3,1,0
"E02000873",5,3,2,70
"E02000873",5,3,3,12
"E02000873",5,3,4,72
"E02000873",5,3,5,5
"E02000873",5,4,1,0
"E02000873",5,4,2,309
"E02000873",5,4,3,41
"E02000873",5,4,4,60
"E02000873",5,4,5,12
"E02000873",6,1,1,83
"E02000873",6,1,2,2
"E02000873",6,1,3,1
"E02000873",6,1,4,0
"E02000873",6,1,5,26
"E02000873",6,2,1,84
"E02000873",6,2,2,29
"E02000873",6,2,3,43
"E02000873",6,2,4,13
"E02000873",6,2,5,232
"E02000873",6,3,1,0
"E02000873",6,3,2,19
"E02000873",6,3,3,26
"E02000873",6,3,4,10
"E02000873",6,3,5,47
"E02000873",6,4,1,0
"E02000873",6,4,2,68
"E02000873",6,4,3,39
"E02000873",6,4,4,11
"E02000873",6,4,5,37
"E02000874",2,1,1,39
"E02000874",2,1,2,0
"E02000874",2,1,3,0
"E02000874",2,1,4,1
"E02000874",2,1,5,0
"E02000874",2,2,1,33
"E02000874",2,2,2,21
"E02000874",2,2,3,4
"E02000874",2,2,4,7
"E02000874",2,2,5,8
"E02000874",2,3,1,0
"E02000874",2,3,2,12
"E02000874",2,3,3,6
"E02000874",2,3,4,4
"E02000874",2,3,5,3
"E02000874",2,4,1,0
"E02000874",2,4,2,18
"E02000874",2,4,3,3
"E02000874",2,4,4,4
"E02000874",2,4,5,1
"E02000874",3,1,1,53
"E02000874",3,1,2,1
"E02000874",3,1,3,0
"E02000874",3,1,4,0
"E02000874",3,1,5,1
"E02000874",3,2,1,38
"E02000874",3,2,2,29
"E02000874",3,2,3,24
"E02000874",3,2,4,10
"E02000874",3,2,5,25
"E02000874",3,3,1,0
"E02000874",3,3,2,33
"E02000874",3,3,3,3
"E02000874",3,3,4,2
"E02000874",3,3,5,0
"E02000874",3,4,1,0
"E02000874",3,4,2,83
"E02000874",3,4,3,11
"E02000874",3,4,4,6
"E02000874",3,4,5,6
"E02000874",5,1,1,154
"E02000874",5,1,2,0
"E02000874",5,1,3,0
"E02000874",5,1,4,2
"E02000874",5,1,5,0
"E02000874",5,2,1,360
"E02000874",5,2,2,52
"E02000874",5,2,3,9
"E02000874",5,2,4,124
"E02000874",5,2,5,18
"E02000874",5,3,1,0
"E02000874",5,3,2,81
"E02000874",5,3,3,10
"E02000874",5,3,4,68
"E02000874",5,3,5,3
"E02000874",5,4,1,0
"E02000874",5,4,2,317
"E02000874",5,4,3,40
"E02000874",5,4,4,80
"E02000874",5,4,5,10
"E02000874",6,1,1,53
"E02000874",6,1,2,0
"E02000874",6,1,3,1
"E02000874",6,1,4,0
"E02000874",6,1,5,5
"E02000874",6,2,1,139
"E02000874",6,2,2,19
"E02000874",6,2,3,17
"E02000874",6,2,4,17
"E02000874",6,2,5,150
"E02000874",6,3,1,0
"E02000874",6,3,2,27
"E02000874",6,3,3,15
"E02000874",6,3,4,7
"E02000874",6,3,5,51
"E02000874",6,4,1,0
"E02000874",6,4,2,71
"E02000874",6,4,3,55
"E02000874",6,4,4,11
"E02000874",6,4,5,39
"E02000875",2,1,1,52
"E02000875",2,1,2,3
"E02000875",2,1,3,1
"E02000875",2,1,4,1
"E02000875",2,1,5,0
"E02000875",2,2,1,19
"E02000875",2,2,2,19
"E02000875",2,2,3,8
"E02000875",2,2,4,11
"E02000875",2,2,5,8
"E02000875",2,3,1,0
"E02000875",2,3,2,17
"E02000875",2,3,3,6
"E02000875",2,3,4,3
"E02000875",2,3,5,2
"E02000875",2,4,1,0
"E02000875",2,4,2,9
"E02000875",2,4,3,0
"E02000875",2,4,4,1
"E02000875",2,4,5,0
"E02000875",3,1,1,94
"E02000875",3,1,2,1
"E02000875",3,1,3,0
"E02000875",3,1,4,2
"E02000875",3,1,5,2
"E02000875",3,2,1,84
"E02000875",3,2,2,36
"E02000875",3,2,3,31
"E02000875",3,2,4,23
"E02000875",3,2,5,29
"E02000875",3,3,1,0
"E02000875",3,3,2,28
"E02000875",3,3,3,6
"E02000875",3,3,4,8
"E02000875",3,3,5,1
"E02000875",3,4,1,0
"E02000875",3,4,2,71
"E02000875",3,4,3,16
"E02000875",3,4,4,4
"E02000875",3,4,5,9
"E02000875",5,1,1,224
"E02000875",5,1,2,1
"E02000875",5,1,3,0
"E02000875",5,1,4,8
"E02000875",5,1,5,0
"E02000875",5,2,1,416
"E02000875",5,2,2,82
"E02000875",5,2,3,20
"E02000875",5,2,4,213
"E02000875",5,2,5,26
"E02000875",5,3,1,0
"E02000875",5,3,2,121
"E02000875",5,3,3,11
"E02000875",5,3,4,100
"E02000875",5,3,5,4
"E02000875",5,4,1,0
"E02000875",5,4,2,441
"E02000875",5,4,3,58
"E02000875",5,4,4,108
"E02000875",5,4,5,24
"E02000875",6,1,1,50
"E02000875",6,1,2,3
"E02000875",6,1,3,1
"E02000875",6,1,4,0
"E02000875",6,1,5,2
"E02000875",6,2,1,140
"E02000875",6,2,2,31
"E02000875",6,2,3,35
"E02000875",6,2,4,40
"E02000875",6,2,5,230
"E02000875",6,3,1,0
"E02000875",6,3,2,38
"E02000875",6,3,3,23
"E02000875",6,3,4,22
"E02000875",6,3,5,48
"E02000875",6,4,1,0
"E02000875",6,4,2,146
"E02000875",6,4,3,78
"E02000875",6,4,4,37
"E02000875",6,4,5,51
"E02000876",2,1,1,62
"E02000876",2,1,2,1
"E02000876",2,1,3,0
"E02000876",2,1,4,0
"E02000876",2,1,5,1
"E02000876",2,2,1,52
"E02000876",2,2,2,28
"E02000876",2,2,3,8
"E02000876",2,2,4,6
"E02000876",2,2,5,13
"E02000876",2,3,1,0
"E02000876",2,3,2,13
"E02000876",2,3,3,1
"E02000876",2,3,4,1
"E02000876",2,3,5,0
"E02000876",2,4,1,0
"E02000876",2,4,2,19
"E02000876",2,4,3,12
"E02000876",2,4,4,1
"E02000876",2,4,5,1
"E02000876",3,1,1,82
"E02000876",3,1,2,1
"E02000876",3,1,3,0
"E02000876",3,1,4,0
"E02000876",3,1,5,0
"E02000876",3,2,1,108
"E02000876",3,2,2,42
"E02000876",3,2,3,33
"E02000876",3,2,4,9
"E02000876",3,2,5,30
"E02000876",3,3,1,0
"E02000876",3,3,2,25
"E02000876",3,3,3,9
"E02000876",3,3,4,5
"E02000876",3,3,5,4
"E02000876",3,4,1,0
